,date,In DATE: The nutritionist explained to the patient that cutting down on sugar would be an effective way to improve his diet.
0,1901,82.1
1,1904,82.3
2,1908,83.9
3,1912,83.4
4,1916,83.0
5,1920,82.2
6,1924,81.6
7,1928,81.4
8,1932,83.5
9,1936,83.2
10,1940,82.3
11,1944,82.1
12,1948,82.7
13,1952,80.9
14,1956,82.7
15,1960,82.2
16,1964,81.8
17,1968,82.4
18,1972,81.8
19,1976,82.7
20,1980,82.8
21,1984,82.3
22,1988,82.2
23,1992,82.3
24,1996,81.1
25,2000,80.3
26,2004,79.7
27,2008,81.5
28,2012,78.5
29,2016,78.3
